row_num,name,domain,employees_now,growth_6m,growth_1y,growth_2y,open_roles,status,notes
1,FirstRing,firstring.io/en,3,0%,+50%,+200%,0,found,
2,Brandmerck,brandmerck.nl,26,0%,+36%,+13%,0,found,
3,We Know Digital Marketing,weknowdigitalmarketing.nl,3,0%,+200%,+200%,0,found,
4,Marketence,marketence.nl,2,-33%,-33%,-33%,0,found,
5,Memorians (dataset name; real LinkedIn co is Admosfeer),admosfeer.nl,2,0%,0%,-33%,0,found,"Name mismatch in source data -- LinkedIn contact Judith de Greef runs Admosfeer (matches domain); Memorians is her separate memorial-jewelry venture, not this agency"
6,MA-Experts,maexperts.nl,2,0%,0%,new (0->2),0,found,"2y growth showed int-overflow sentinel value, meaning 0 employees 2yrs ago -- essentially a brand new company"
7,Goals Arbeidsmarketing,goals.nl,,,,,,not_found,"name too generic, no clean Sales Nav match"
8,Studio Het Nest,videobird.nl,2,0%,0%,0%,0,found,"flat, stable, no growth in 2yrs"
9,SocialBack,socialback.nl,2,0%,0%,0%,0,found,"flat, stable; job openings panel had no data to render (likely 0/empty state)"
10,Ad Growth Digital,adgrowthdigital.com,,,,,,not_found,"name+domain both too generic, 11K+ unrelated results, no exact match surfaced"
11,Cristel Zwart,conceptacademie.nl,,,,,,not_found,"no company page found under name, domain, or contact name"
12,OFFFF Branding & Design Studio,offff.studio,9,+10%,0%,+28%,0,found,Rotterdam
13,Omelette du Fromage,omelettedufromage.nl,14,+16%,+16%,+16%,0,found,
14,HH-Shops,brandways.nl,,,,,,not_found,
15,WEARE,weare-cg.com,2,0%,0%,+33%,0,found,
16,Wander Journeys,wanderjourneys.com,,,,,,not_found,
17,Naru Core,narucore.com,,,,,,not_found,
18,New Challenge | Creative & Digital Agency,newchallengeagency.com,5,+16%,+16%,0%,0,found,Rotterdam
19,Kodros | Financials voor gemeenten,kodros.nl,52,+23%,+62%,+92%,0,found,strong real growth story
20,BONANA,bonana.com,34,+17%,+36%,+183%,8,found,"strong growth + actively hiring, second Dapper-tier story"
21,Dubbel Media,dubbelmedia.nl,15,0%,0%,0%,0,found,"flat, stable"
22,Nexst Group,nexstsocials.nl,,,,,,not_found,
23,FONDERIE,fonderieagency.com,,,,,,not_found,"only match is Software Development co in Belgium, industry mismatch, not confident it is the same company"
24,GraphicGenie B.V.,graphicgenie.nl,2,+100%,+100%,+100%,0,found,"from earlier same-day pull; solo-to-two shop, 1->2"
25,Timeless Design,timelessdesign.nl,,,,,,not_found,"confirmed twice: true solo operator, no LinkedIn company page exists"
26,Samen Online Marketing (Bouwman Marketing),bouwmanmarketing.nl,1,,,,0,found,"from earlier same-day pull; solo operator, page is founder Jessica Bouwman personal profile not a company"
27,Sticky Tooling,stickytooling.com,2,0%,0%,0%,0,found,"from earlier same-day pull; flat, stable"
28,Humans,humans.nl,,,,,,not_found,name too generic to isolate in Sales Nav search
29,Agency 6,agency6.nl,,,,,,not_found,"generic name, multiple unrelated companies, no domain confirmation"
30,DARO Digital,darodigitalmedia.com,1,,,,,low_confidence,"Advertising Services 1 employee, plausible match but no About text/location to confirm domain"
31,Emper,emper.nl,6,+20%,0%,+20%,0,found,
32,Growth Partners Rotterdam,growthpartnersrotterdam.com,5,0%,+25%,+66%,1,found,"Rotterdam, real growth + hiring"
33,Growth Maximizers,growthmaximizers.com,9,0%,+12%,+28%,0,found,
34,TriplePro Online Marketing bv,onlinemarketing.triplepro.nl,,,,,,blocked,found the search result but click-through would not register via text-only methods; needs revisit
35,Bitch the agency,bitchtheagency.com,,,,,,blocked,"click not registering via text-only methods, needs revisit"
36,Pirlo Strategy,pirlostrategy.com,2,+50%,+50%,+100%,0,found,
34,TriplePro Online Marketing bv,onlinemarketing.triplepro.nl,41,+2%,+10%,+24%,1,found,SUPERSEDES earlier blocked row 34 -- resolved with screenshot+coordinate click
35,Bitch the agency,bitchtheagency.com,13,0%,+30%,+44%,0,found,SUPERSEDES earlier blocked row 35
37,Kick Off Digital,kickoffdigital.nl,,,,,,not_found,"name too generic (360 results), domain search hit wrong company"
38,Swipocratie,swipocratie.nl,1,,,,,found,solo operator confirmed
39,BORING,weareboring.nl,,,,,,not_found,"name too generic, 914 unrelated results, no Dutch match confirmed"
40,IkCommuniceer,ikcommuniceer.nu,2,0%,0%,0%,0,found,
41,Sticky Presentations,stickypresentations.com,7,0%,0%,0%,0,found,
42,Smaile,sendtmedia.nl,22,,,,,low_confidence,"only NL match is an AI-consulting Smaile, industry mismatch vs sendtmedia.nl domain, not confident same company"
43,SnappySocials,snappysocials.nl,,,,,,not_found,0 results in Netherlands
44,Volters,volters.nl,,,,,,not_found,"only NL match is a renewable energy company, industry mismatch"
45,Haan Digital,haandigital.nl,9,+10%,+18%,+43%,0,found,real growth
