domain,group,reason,scraped_name
2bmedia.nl,control,scraped company does not match the domain,2B Media
369production.nl,control,scraped company does not match the domain,369 production
addix.nl,control,scraped company does not match the domain,Addix
adkings.nl,control,scraped company does not match the domain,Adkings
akqa.com,control,scraped company does not match the domain,AKQA
alexxdesign.nl,control,scraped company does not match the domain,alexdodig
aliens.nl,control,scraped company does not match the domain,Aliens Are Among Us
all-it.nl,control,scraped company does not match the domain,All-IT 4 you
alldots.nl,control,scraped company does not match the domain,All Dots
allison.nl,control,scraped company does not match the domain,Allison Verrassende Reklamemakers
amici-consulting.nl,control,scraped company does not match the domain,Amici Consulting
an-image.nl,control,scraped company does not match the domain,AN Image
,narrower,scraped company does not match the domain,Annabel van Eijk
artdigital.nl,control,scraped company does not match the domain,Art Digital
avantlalettre.nl,control,scraped company does not match the domain,Avant la Lettre
beeld5.nl,control,scraped company does not match the domain,Reclamebureau Beeld5
bu3.nl,control,scraped company does not match the domain,BU3
bureaubijma.nl,narrower,scraped company does not match the domain,Bureau Bijma
codebreakers.nl,narrower,scraped company does not match the domain,Codebreakers - Storytelling Agency
cookscrossover.com,narrower,scraped company does not match the domain,COOKS CrossOver Communicatie
cop-y.nl,control,scraped company does not match the domain,Cop-Y
cotd.nl,narrower,scraped company does not match the domain,Catch of the Day
create-convert.nl,narrower,scraped company does not match the domain,Create & Convert
creatievecampagnes.nl,narrower,scraped company does not match the domain,Ricover Media Group
crystallize.nl,control,scraped company does not match the domain,Crystallize
daylinq.nl,control,scraped company does not match the domain,Daylinq
demarrage.nl,control,scraped company does not match the domain,Demarrage
digibit.nl,control,scraped company does not match the domain,DigiBit
drievis.nl,control,scraped company does not match the domain,Drievis Marketing
firmedia.com,narrower,scraped company does not match the domain,FIR Media
jam16.nl,control,scraped company does not match the domain,JAM16
klikkertje.nl,control,scraped company does not match the domain,Klikkertje
kliktaal.nl,control,scraped company does not match the domain,Kliktaal
kompaniet.nl,control,scraped company does not match the domain,Kompaniet
,narrower,scraped company does not match the domain,Lemon Digital
majavi.nl,control,scraped company does not match the domain,Majavi MultiMedia
marketingcollega.nl,narrower,scraped company does not match the domain,MarketingCollega
mediabreeze.nl,control,scraped company does not match the domain,Media Breeze
modernemeesters.nl,control,scraped company does not match the domain,Moderne Meesters
no7.digital,narrower,scraped company does not match the domain,No.7 Digital
seonl.nl,control,scraped company does not match the domain,SeoNL
studiobold.nl,control,scraped company does not match the domain,Studio Bold
thabasco.nl,control,scraped company does not match the domain,"Thabasco, TBWA\Groningen"
vdveer.nl,control,scraped company does not match the domain,VanderVeer Creative Agency
