domain,employees_now,growth_6m,growth_1y,growth_2y,added_6m,added_1y,added_2y,group,pivot_year,pivot_year_source,matched_to,revenue_band,median_tenure_years,months_of_chart
0209design.nl,5,0.25,0.25,0.25,1,1,1,control,2020,matched twin,klemtoonmedia.nl,"$500,000 - $1M in revenue",7.5,25
072design.nl,1,0.0,-0.5,-0.5,0,-1,-1,control,2024,matched twin,bureaubijma.nl,,14.1,25
0930.nl,15,-0.0625,-0.1176,-0.0625,-1,-2,-1,control,2025,matched twin,accentinteractive.nl,,3.3,25
10tycreative.nl,1,0.0,0.0,0.0,0,0,0,control,2023,matched twin,thisisqi.nl,,11.2,25
10uur.nl,23,0.0,0.0,0.0952,0,0,2,control,2023,matched twin,bliqvangers.nl,$2.5M - $5M,3.6,25
1kilotekst.nl,1,0.0,0.0,0.0,0,0,0,control,2023,matched twin,nedfinity.com,,13.4,25
2chairs.nl,,,,,,,,control,2025,matched twin,accentinteractive.nl,,,0
2kwadraat.nl,1,0.0,0.0,0.0,0,0,0,control,2020,matched twin,klemtoonmedia.nl,,7.8,25
2manydots.nl,19,0.1176,0.2667,0.5833,2,4,7,control,2023,matched twin,converzo.nl,$1M - $2.5M,,25
2mkb.nl,2,0.0,0.0,0.0,0,0,0,control,2023,matched twin,tres.nl,"$500,000 - $1M",11.3,25
2ndchapter.nl,3,0.0,0.0,0.0,0,0,0,control,2025,matched twin,trimm.nl,"$500,000 - $1M",2.3,25
2youmarketing.nl,2,0.0,0.0,0.0,0,0,0,control,2025,matched twin,turntwo.com,,4.4,25
360-onlinemarketing.com,4,0.0,-0.2,-0.2,0,-1,-1,control,2025,matched twin,jibe-group.com,,3.5,25
3mo.nl,6,-0.1429,-0.1429,-0.1429,-1,-1,-1,control,2023,matched twin,blinktuit.nl,"$500,000 - $1M",,25
3wmedia.nl,17,0.0,-0.0556,-0.0556,0,-1,-1,control,2024,matched twin,upside.nl,,13,25
4foot8.nl,2,0.0,0.0,0.0,0,0,0,control,2024,matched twin,lafortezza.nl,,2.2,25
4ksproductions.com,2,0.0,0.0,0.0,0,0,0,control,2022,matched twin,codebreakers.nl,,7.3,25
53gradennoord.nl,14,-0.1765,-0.2632,-0.3,-3,-5,-6,control,2025,matched twin,annabel.nl,,4.9,25
7w-internetmarketing.nl,3,0.0,0.0,0.0,0,0,0,control,2023,matched twin,vertigo6.nl,,4.1,25
