domain,cohort,window,client_key,named,depth,has_number,metric_kinds,bucket_industry,bucket_craft,bucket_job,bucket_channel,bucket_model,bucket_stage,bucket_geo
boomerangagency.com,control,after,interpolis,Y,full-case-page,N,,,Website & webdesign,Bewustwording & gedragsverandering,Website & CMS,,,
boomerangagency.com,control,after,campina,Y,full-case-page,N,,,unknown,,,,,
boomerangagency.com,control,after,pepsi,Y,full-case-page,N,,,"Video, animatie & fotografie",,"Content, video & PR",,,
boomerangagency.com,control,after,boomerang,Y,full-case-page,N,,,Branding & huisstijl,,Social media organisch,Webshop consumenten (D2C),,Heel Nederland (landelijk)
creativeflavours.nl,control,after,mammoetroadcargo,Y,full-case-page,N,,"Transport, logistics & automotive",Branding & huisstijl,unknown,,,,
creativeflavours.nl,control,after,opstijgendvochtnl,Y,full-case-page,N,,"Construction, real estate & housing",Branding & huisstijl,,Website & CMS,,,
creativeflavours.nl,control,after,soccerboxer,Y,full-case-page,N,,"Nonprofits, charities & associations",Branding & huisstijl,unknown,Website & CMS,Webshop consumenten (D2C),,Heel Nederland (landelijk)
creativeflavours.nl,control,after,tapiocacompany,Y,full-case-page,N,,"Food, beverage & agriculture",Website & webdesign,Website verouderd of nieuw nodig,Website & CMS,Webshop consumenten (D2C),,Nederlandse stad of plaats
creativeflavours.nl,control,after,brandloyalty,Y,full-case-page,N,,"Media, culture & entertainment","Grafisch ontwerp, drukwerk & print",unknown,,,,
cornerstones.nl,narrower,before,barcolichttotaal,Y,full-case-page,N,,Retail & e-commerce (general consumer goods),Webshop & e-commerce,Webshop & online verkoop,Webshop & e-commerceplatform,,,
cornerstones.nl,narrower,before,desteigerconcurrent,Y,full-case-page,N,,Retail & e-commerce (general consumer goods),Webshop & e-commerce,Webshop & online verkoop,Webshop & e-commerceplatform,,,Nederland plus buurlanden
cornerstones.nl,narrower,before,kshkantoorspecialisten,Y,full-case-page,Y,revenue_sales,Retail & e-commerce (general consumer goods),Strategie & advies,Webshop & online verkoop,Webshop & e-commerceplatform,,,
cornerstones.nl,narrower,before,kshkantoorspecialisten,Y,summary-tile,N,,,Webshop & e-commerce,Groei & nieuwe markten,Webshop & e-commerceplatform,,,
cornerstones.nl,narrower,before,barcolichttotaal,Y,summary-tile,N,,Retail & e-commerce (general consumer goods),Webshop & e-commerce,Webshop & online verkoop,,,,
cornerstones.nl,narrower,before,desteigerconcurrent,Y,summary-tile,N,,,Webshop & e-commerce,Webshop & online verkoop,Webshop & e-commerceplatform,,,
cornerstones.nl,narrower,before,cesnederland,Y,detailed-tile,N,,,Website & webdesign,Webshop & online verkoop,Webshop & e-commerceplatform,Webshop consumenten (D2C),,
cornerstones.nl,narrower,before,nicecubes,Y,detailed-tile,N,,,Webshop & e-commerce,,Webshop & e-commerceplatform,,,
cornerstones.nl,narrower,before,quebixwoonvoorziening,Y,detailed-tile,N,,Healthcare & care,Website & webdesign,Website verouderd of nieuw nodig,,,,Regionaal (binnen Nederland)
cornerstones.nl,narrower,before,tuincentrumnoordbarge,Y,detailed-tile,N,,,Website & webdesign,Website verouderd of nieuw nodig,,,,
cornerstones.nl,narrower,before,leondoro,Y,detailed-tile,N,,"Food, beverage & agriculture",Branding & huisstijl,,,,,
cornerstones.nl,narrower,before,hetsteenhuys,Y,detailed-tile,N,,,Website & webdesign,,,,,
cornerstones.nl,narrower,before,gemeentegroningen,Y,summary-tile,N,,,Website & webdesign,,,,,Nederlandse stad of plaats
cornerstones.nl,narrower,before,supremerelatiegeschenken,Y,detailed-tile,N,,,Webshop & e-commerce,,Webshop & e-commerceplatform,,,
cornerstones.nl,narrower,before,plaggenmarsch,Y,detailed-tile,N,,,Webshop & e-commerce,,Webshop & e-commerceplatform,,,
cornerstones.nl,narrower,before,brasseriehartighsoed,Y,detailed-tile,N,,"Hospitality, tourism, sports & recreation",Website & webdesign,,,,,
cornerstones.nl,narrower,before,laundryuse,Y,summary-tile,N,,,Website & webdesign,,,,,
cornerstones.nl,narrower,before,tiseca,Y,summary-tile,N,,,Webshop & e-commerce,Webshop & online verkoop,Webshop & e-commerceplatform,,,
cornerstones.nl,narrower,before,rickmeinenstudio,Y,summary-tile,N,,unknown,Website & webdesign,,,,,
cornerstones.nl,narrower,before,kshkantoorspecialisten,Y,summary-tile,N,,,Webshop & e-commerce,Webshop & online verkoop,Webshop & e-commerceplatform,,,
cornerstones.nl,narrower,before,rijschooljalving,Y,summary-tile,N,,Education & childcare,Website & webdesign,,,,,
cornerstones.nl,narrower,before,goedlicht,Y,summary-tile,N,,,"Grafisch ontwerp, drukwerk & print",,Webshop & e-commerceplatform,,,
cornerstones.nl,narrower,before,yourizon,Y,summary-tile,N,,,Website & webdesign,,Website & CMS,,,
2manydots.nl,control,after,alku,Y,full-case-page,Y,leads_inquiries;traffic;seo_positions,Manufacturing & industrial,Website & webdesign,Website verouderd of nieuw nodig,SEO & organische vindbaarheid,Gemengd,Omvang in cijfers,Heel Nederland (landelijk)
2manydots.nl,control,after,mondiaen,Y,full-case-page,Y,seo_positions,Education & childcare,SEO & vindbaarheid,Beter vindbaar in Google,Multi-channel & omnichannel,"Overheid, zorg & onderwijs",unknown,Regionaal (binnen Nederland)
2manydots.nl,control,after,frissekoppen,Y,full-case-page,Y,seo_positions,"Media, culture & entertainment",Website & webdesign,Website verouderd of nieuw nodig,,Zakelijke afnemers (B2B),Omvang in cijfers,Regionaal (binnen Nederland)
2manydots.nl,control,after,gstarraw,Y,full-case-page,N,,"Staffing, recruitment & HR",Website & webdesign,Personeel werven & werkgeversmerk,,Webshop consumenten (D2C),Omvang in cijfers,Internationaal / wereldwijd
2manydots.nl,control,after,dbswtravelmedia,Y,full-case-page,N,,"Hospitality, tourism, sports & recreation",Website & webdesign,Beter vindbaar in Google,SEO & organische vindbaarheid,unknown,Omvang in cijfers,
dentsu.com,control,after,philips,Y,full-case-page,Y,revenue_sales,"Software, IT & telecom",Strategie & advies,Bewustwording & gedragsverandering,"Content, video & PR",,,Specifiek buitenland
dentsu.com,control,after,workday,Y,full-case-page,N,,"Software, IT & telecom",Strategie & advies,Bewustwording & gedragsverandering,Offline media & events,,Groot / corporate / marktleider,
dentsu.com,control,after,surakshakateeka,Y,logo-only,N,,,,,,,,
dentsu.com,control,after,theeverythingbook,Y,logo-only,N,,,,,,,,
