domain,window,axis,evidence,bucket,distinct_clients_or_cases
0209design.nl,after,craft,named,Branding & huisstijl,6
0209design.nl,after,craft,named,Campagnes & creatieve concepten,3
0209design.nl,after,craft,named,"E-mailmarketing, automation & funnels",2
0209design.nl,after,craft,named,"Grafisch ontwerp, drukwerk & print",5
0209design.nl,after,craft,named,"Video, animatie & fotografie",1
0209design.nl,after,craft,named,Website & webdesign,5
0209design.nl,after,craft,named,unknown,5
0209design.nl,after,geo,named,Europa,3
0209design.nl,after,industry,named,Business & professional services,2
0209design.nl,after,industry,named,"Construction, real estate & housing",2
0209design.nl,after,industry,named,Education & childcare,2
0209design.nl,after,industry,named,"Fashion, beauty & personal goods",1
0209design.nl,after,industry,named,"Food, beverage & agriculture",1
0209design.nl,after,industry,named,Healthcare & care,2
0209design.nl,after,industry,named,"Hospitality, tourism, sports & recreation",1
0209design.nl,after,industry,named,Manufacturing & industrial,1
0209design.nl,today,craft,anonymous,"Grafisch ontwerp, drukwerk & print",2
0209design.nl,today,craft,anonymous,"Video, animatie & fotografie",1
0209design.nl,today,craft,named,Branding & huisstijl,11
0209design.nl,today,craft,named,Campagnes & creatieve concepten,4
0209design.nl,today,craft,named,"E-mailmarketing, automation & funnels",2
0209design.nl,today,craft,named,"Grafisch ontwerp, drukwerk & print",7
0209design.nl,today,craft,named,"Video, animatie & fotografie",2
0209design.nl,today,craft,named,Website & webdesign,6
0209design.nl,today,craft,named,unknown,5
0209design.nl,today,geo,named,Europa,1
0209design.nl,today,industry,anonymous,"Food, beverage & agriculture",1
0209design.nl,today,industry,named,Business & professional services,2
0209design.nl,today,industry,named,"Construction, real estate & housing",3
0209design.nl,today,industry,named,Education & childcare,1
0209design.nl,today,industry,named,"Fashion, beauty & personal goods",2
0209design.nl,today,industry,named,"Food, beverage & agriculture",2
0209design.nl,today,industry,named,Healthcare & care,1
0209design.nl,today,industry,named,"Hospitality, tourism, sports & recreation",2
0209design.nl,today,industry,named,Manufacturing & industrial,1
0209design.nl,today,industry,named,"Software, IT & telecom",1
0209design.nl,today,job,named,"Meer leads, aanvragen & verkoop",1
0209design.nl,today,model,named,Webshop consumenten (D2C),1
0209design.nl,today,model,named,unknown,1
0209design.nl,today,stage,named,Familiebedrijf / gevestigd met historie,2
072design.nl,after,craft,named,Webshop & e-commerce,2
072design.nl,after,craft,named,Website & webdesign,2
072design.nl,after,industry,named,"Construction, real estate & housing",2
072design.nl,after,industry,named,"Media, culture & entertainment",1
072design.nl,after,industry,named,unknown,1
072design.nl,today,channel,named,Webshop & e-commerceplatform,2
072design.nl,today,craft,named,Webshop & e-commerce,2
072design.nl,today,craft,named,Website & webdesign,3
072design.nl,today,industry,named,"Construction, real estate & housing",1
072design.nl,today,industry,named,"Media, culture & entertainment",1
072design.nl,today,industry,named,Retail & e-commerce (general consumer goods),1
072design.nl,today,model,named,Webshop consumenten (D2C),2
0to9.nl_388,today,craft,named,unknown,5
0to9.nl_388,today,industry,named,Finance & insurance,1
100procent.nl_389,today,channel,named,"E-mail, CRM & marketing automation",1
100procent.nl_389,today,craft,named,Apps & maatwerk platforms,1
100procent.nl_389,today,craft,named,Campagnes & creatieve concepten,1
100procent.nl_389,today,craft,named,UX/UI & interface design,1
100procent.nl_389,today,craft,named,unknown,1
100procent.nl_389,today,job,named,Klantbehoud & loyaliteit,1
100procent.nl_389,today,job,named,Personeel werven & werkgeversmerk,1
10uur.nl,after,craft,named,Branding & huisstijl,1
10uur.nl,after,craft,named,Campagnes & creatieve concepten,1
10uur.nl,after,craft,named,Employer branding & recruitment,2
10uur.nl,after,geo,named,Regionaal (binnen Nederland),1
10uur.nl,after,job,named,"Leden, leerlingen & donateurs werven",1
10uur.nl,after,job,named,Personeel werven & werkgeversmerk,2
10uur.nl,before,craft,named,Branding & huisstijl,1
10uur.nl,before,craft,named,Campagnes & creatieve concepten,1
10uur.nl,before,geo,named,Internationaal / wereldwijd,1
10uur.nl,before,geo,named,Nederland plus buurlanden,1
10uur.nl,before,industry,named,Government & public sector,1
10uur.nl,before,industry,named,"Transport, logistics & automotive",1
10uur.nl,today,channel,named,"Branding, campagne & activatie",1
10uur.nl,today,channel,named,"Content, video & PR",2
10uur.nl,today,channel,named,Multi-channel & omnichannel,1
10uur.nl,today,channel,named,Website & CMS,3
