domain,window,cases_total,cases_with_number,revenue_sales,leads_inquiries,traffic,conversion,seo_positions,ad_performance,reach_views,other
0209design.nl,after,63,0,0,0,0,0,0,0,0,0
0209design.nl,today,72,0,0,0,0,0,0,0,0,0
072design.nl,after,8,0,0,0,0,0,0,0,0,0
072design.nl,today,7,0,0,0,0,0,0,0,0,0
0to9.nl_388,today,8,0,0,0,0,0,0,0,0,0
100procent.nl_389,today,4,1,0,1,0,0,0,0,0,0
10uur.nl,after,4,0,0,0,0,0,0,0,0,0
10uur.nl,before,2,0,0,0,0,0,0,0,0,0
10uur.nl,today,16,0,0,0,0,0,0,0,0,0
1kilotekst.nl,before,3,0,0,0,0,0,0,0,0,0
1kilotekst.nl,today,20,0,0,0,0,0,0,0,0,0
2bmedia.nl,after,3,0,0,0,0,0,0,0,0,0
2bmedia.nl,today,5,0,0,0,0,0,0,0,0,0
2kwadraat.nl,after,9,0,0,0,0,0,0,0,0,0
2kwadraat.nl,before,11,1,0,0,0,0,0,0,1,0
2kwadraat.nl,today,1,0,0,0,0,0,0,0,0,0
2manydots.nl,after,66,12,1,1,4,0,6,0,1,4
2manydots.nl,before,28,2,0,1,0,0,1,0,0,0
2manydots.nl,today,52,0,0,0,0,0,0,0,0,0
2mkb.nl,before,1,0,0,0,0,0,0,0,0,0
2ndchapter.nl,after,10,0,0,0,0,0,0,0,0,0
2ndchapter.nl,before,10,0,0,0,0,0,0,0,0,0
2ndchapter.nl,today,18,0,0,0,0,0,0,0,0,0
2youmarketing.nl,after,10,1,0,1,1,0,0,0,0,0
2youmarketing.nl,before,2,1,0,1,1,0,0,0,0,0
2youmarketing.nl,today,6,0,0,0,0,0,0,0,0,0
360-onlinemarketing.com,after,5,0,0,0,0,0,0,0,0,0
360-onlinemarketing.com,before,5,0,0,0,0,0,0,0,0,0
360-onlinemarketing.com,today,5,0,0,0,0,0,0,0,0,0
369production.nl,after,4,0,0,0,0,0,0,0,0,0
369production.nl,before,4,0,0,0,0,0,0,0,0,0
369production.nl,today,4,0,0,0,0,0,0,0,0,0
3wmedia.nl,after,16,2,0,1,1,0,0,0,0,1
3wmedia.nl,before,31,0,0,0,0,0,0,0,0,0
3wmedia.nl,today,18,0,0,0,0,0,0,0,0,0
4foot8.nl,after,47,0,0,0,0,0,0,0,0,0
4foot8.nl,before,47,0,0,0,0,0,0,0,0,0
4foot8.nl,today,10,0,0,0,0,0,0,0,0,0
4ksproductions.com,after,8,0,0,0,0,0,0,0,0,0
4ksproductions.com,today,53,0,0,0,0,0,0,0,0,0
53gradennoord.nl,after,11,0,0,0,0,0,0,0,0,0
53gradennoord.nl,before,29,0,0,0,0,0,0,0,0,0
53gradennoord.nl,today,20,0,0,0,0,0,0,0,0,0
7w-internetmarketing.nl,after,18,0,0,0,0,0,0,0,0,0
7w-internetmarketing.nl,before,18,0,0,0,0,0,0,0,0,0
7w-internetmarketing.nl,today,18,0,0,0,0,0,0,0,0,0
8ontwerp.nl,after,26,0,0,0,0,0,0,0,0,0
8ontwerp.nl,before,23,0,0,0,0,0,0,0,0,0
8ontwerp.nl,today,13,0,0,0,0,0,0,0,0,0
90graden.com,after,26,0,0,0,0,0,0,0,0,0
90graden.com,before,25,0,0,0,0,0,0,0,0,0
90graden.com,today,10,0,0,0,0,0,0,0,0,0
aandagt.nl,today,3,0,0,0,0,0,0,0,0,0
aanjagers.nu,after,18,0,0,0,0,0,0,0,0,0
aanjagers.nu,before,15,0,0,0,0,0,0,0,0,0
acato.nl,before,30,0,0,0,0,0,0,0,0,0
acato.nl,today,41,0,0,0,0,0,0,0,0,0
accentinteractive.nl,after,4,0,0,0,0,0,0,0,0,0
accentinteractive.nl,before,4,0,0,0,0,0,0,0,0,0
accentinteractive.nl,today,29,2,0,0,0,2,0,0,0,0
achieve.nl,after,37,0,0,0,0,0,0,0,0,0
achieve.nl,today,63,0,0,0,0,0,0,0,0,0
act.agency,after,28,5,0,0,1,1,0,0,2,2
act.agency,today,10,0,0,0,0,0,0,0,0,0
addix.nl,before,10,0,0,0,0,0,0,0,0,0
addix.nl,today,91,0,0,0,0,0,0,0,0,0
addvision.nl,after,55,17,1,9,2,0,1,0,1,5
addvision.nl,before,1,0,0,0,0,0,0,0,0,0
addvision.nl,today,20,5,2,2,0,0,0,0,0,1
adfarm.nl,after,14,1,0,0,0,1,0,0,0,0
adfarm.nl,before,1,1,1,0,0,0,0,0,0,0
adfarm.nl,today,34,6,0,4,0,2,0,0,0,0
advertisingheroes.com,after,3,0,0,0,0,0,0,0,0,0
advertisingheroes.com,before,6,0,0,0,0,0,0,0,0,0
advertisingheroes.com,today,3,0,0,0,0,0,0,0,0,0
adwise.nl,today,139,32,11,6,1,3,0,5,3,6
adwolves.nl,today,30,8,2,2,0,0,0,2,0,4
adworth.nl,after,6,0,0,0,0,0,0,0,0,0
adworth.nl,before,6,0,0,0,0,0,0,0,0,0
adworth.nl,today,9,0,0,0,0,0,0,0,0,0
afdelingonline.nl,after,84,17,2,0,7,2,1,1,3,3
afdelingonline.nl,before,67,17,1,1,5,2,2,0,7,4
afdelingonline.nl,today,67,0,0,0,0,0,0,0,0,0
afontwerp.nl,today,11,0,0,0,0,0,0,0,0,0
afslagzuid.nl,after,26,0,0,0,0,0,0,0,0,0
afslagzuid.nl,before,25,0,0,0,0,0,0,0,0,0
afslagzuid.nl,today,9,0,0,0,0,0,0,0,0,0
aim.nu,after,110,0,0,0,0,0,0,0,0,0
aim.nu,before,125,0,0,0,0,0,0,0,0,0
aim.nu,today,66,0,0,0,0,0,0,0,0,0
