domain,window,cohort,avg_specificity,client_keys,demonstrated_combo,demonstrated_depth,hhi_channel,hhi_craft,hhi_geo,hhi_industry,hhi_job,hhi_model,hhi_stage,inc_n_stated_channel,inc_n_stated_craft,inc_n_stated_geo,inc_n_stated_industry,inc_n_stated_job,inc_n_stated_model,inc_n_stated_stage,inc_top1_channel,inc_top1_craft,inc_top1_geo,inc_top1_industry,inc_top1_job,inc_top1_model,inc_top1_stage,n_anonymous_rows,n_carried,n_case_rows,n_distinct_clients,n_dropped,n_new_clients,n_stated_channel,n_stated_craft,n_stated_geo,n_stated_industry,n_stated_job,n_stated_model,n_stated_stage,pivot_year,share_full_page,share_numeric,top1_channel,top1_craft,top1_geo,top1_industry,top1_job,top1_model,top1_stage,topbucket_channel,topbucket_craft,topbucket_geo,topbucket_industry,topbucket_job,topbucket_model,topbucket_stage,truncated
boomerangagency.com,after,control,2.087,abnamro;ahterra;albertheijn;andrelon;andrlon;beyondmeat;boomerang;campina;chocomel;desperados;eurail;fanta;heineken;interpolis;liga;mentos;oldamsterdam;parbo;pepsi;rijksmuseum;unicef;varkensinnood;zwitsal,industry+channel,2,0.333,0.211,0.222,0.389,0.2,1.0,1.0,0,0,0,0,0,0,0,,,,,,,,11,21,46,23,19,2,12,16,6,6,5,1,1,2025,0.739,0.087,0.5,0.375,0.333,0.5,0.2,1.0,1.0,Social media organisch,"Video, animatie & fotografie",Heel Nederland (landelijk),"Fashion, beauty & personal goods",Bewustwording & gedragsverandering,Webshop consumenten (D2C),Groot / corporate / marktleider,True
creativeflavours.nl,after,control,2.312,beautyxl;brandloyalty;diergaardeblijdorp;easywalker;galdersfeestweekend;ggd;guesthousehotel;iamhardwellthemovie;magicbaby;mammoetroadcargo;opstijgendvochtnl;pathvisuals;revit;soccerboxer;tapiocacompany;topvoorkinderen,channel,1,0.556,0.266,0.306,0.12,0.333,1.0,1.0,3,6,3,6,2,2,0,1.0,0.5,0.667,0.333,0.5,1.0,,0,10,23,16,1,6,6,13,7,10,3,2,1,2020,0.688,0.0,0.667,0.385,0.429,0.2,0.333,1.0,1.0,Website & CMS,Branding & huisstijl,Nederlandse stad of plaats,"Nonprofits, charities & associations",Website verouderd of nieuw nodig,Webshop consumenten (D2C),Groot / corporate / marktleider,True
cornerstones.nl,before,narrower,1.571,barcolichttotaal;brasseriehartighsoed;ceseasy;cesnederland;desteigerconcurrent;gemeentegroningen;goedlicht;hetsteenhuys;kshkantoorspecialisten;laundryuse;leondoro;nicecubes;plaggenmarsch;quebixnl;quebixwoonvoorziening;rickmeinenstudio;rijschooljalving;supremerelatiegeschenken;tiseca;tuincentrumnoordbarge;yourizon,craft+job+channel,3,0.82,0.392,0.333,0.265,0.592,1.0,,,,,,,,,,,,,,,,0,,27,21,,,10,21,3,7,7,2,0,2023,0.143,0.048,0.9,0.524,0.333,0.429,0.714,1.0,,Webshop & e-commerceplatform,Website & webdesign,Nederland plus buurlanden,Retail & e-commerce (general consumer goods),Webshop & online verkoop,Webshop consumenten (D2C),,False
2manydots.nl,after,control,2.5,acait;alcoholvrijbierhuis;alku;amberalerteurope;avia;avianederland;brabantpartners;crowefoederer;dbswtravelmedia;elspessers;frissekoppen;grancanarianl;gstarraw;hip;ikbeneenbrabandernl;jacobsvanrooij;juiceyou;klokjerond;klokjerondhetwittewiel;koti;mondiaen;netpresenter;omroepbrabant;omroepbrabantreclame;opcharge;regionaleuitvoeringsdienstzeeland;rudzeeland;sapje;smctilburg;stichtingamberalerteurope;teekenskarstens;teleperformance;teleperformancebenelux;univers;vandermeijsglas;vivisol,craft+stage,2,0.175,0.427,0.28,0.085,0.2,0.284,0.702,11,19,8,14,13,5,8,0.455,0.579,0.625,0.143,0.462,0.4,0.875,0,11,66,36,7,25,21,27,15,25,20,9,11,2023,0.528,0.278,0.286,0.63,0.467,0.12,0.35,0.333,0.818,SEO & organische vindbaarheid,Website & webdesign,Regionaal (binnen Nederland),Retail & e-commerce (general consumer goods),Website verouderd of nieuw nodig,Gemengd,Omvang in cijfers,True
dentsu.com,after,control,2.423,adobe;bowelcanceraustralia;brita;calm;caratdiageo;dentsucreativechinakfcrestore;dentsuxnonamecasestudy;diageo;donateyourwords;footlocker;greenpeacerussia;intel;irwinmitchell;morethanthatwithgiapeppers;nationalgeographic;noname;pggillette;philips;royalcaribbean;sinyirealty;surakshakateeka;swiggy;theeverythingbook;tvtokyo;vedantu;workday,job+geo,2,0.337,0.163,0.722,0.18,0.461,1.0,0.5,2,3,1,2,3,0,1,0.5,0.667,1.0,0.5,0.667,,1.0,0,18,26,26,27,8,14,17,12,10,16,1,2,2024,0.654,0.385,0.429,0.235,0.833,0.3,0.625,1.0,0.5,"Content, video & PR",Strategie & advies,Specifiek buitenland,"Software, IT & telecom",Bewustwording & gedragsverandering,Zakelijke afnemers (B2B),Groot / corporate / marktleider,False
dentsucreative.amsterdam,after,control,1.5,adobe;crisp;gls;karwei;kpn;lumion;propel;zeromalaria,channel,1,0.556,0.167,1.0,0.25,,1.0,1.0,3,6,2,4,0,1,1,0.667,0.167,1.0,0.25,,1.0,1.0,0,0,8,8,0,8,3,6,2,4,0,1,1,2022,0.0,0.0,0.667,0.167,1.0,0.25,,1.0,1.0,Social media organisch,Campagnes & creatieve concepten,Internationaal / wereldwijd,"Transport, logistics & automotive",,SaaS & software,Groot / corporate / marktleider,False
deptagency.com,before,control,1.19,aaronwegmann;allianz;avinafood;bevi;brenntag;bugaboo;canyon;foundationmedicine;fragrancedirect;ganni;gant;glendimplex;goodhabitz;hse;jbl;leoninedistributiongmbh;livelifebyturningpoint;louisianamuseum;otravo;primephonic;vangogh,model+geo,2,0.222,0.19,0.722,0.5,,0.375,1.0,,,,,,,,,,,,,,,0,,24,21,,,6,17,6,2,0,4,1,2022,0.0,0.0,0.333,0.294,0.833,0.5,,0.5,1.0,"E-mail, CRM & marketing automation",Website & webdesign,Internationaal / wereldwijd,"Media, culture & entertainment",,Zakelijke afnemers (B2B),Groot / corporate / marktleider,True
getforward.nl,before,control,2.8,bouwma;enrise;segwayveluwe;thermoshield;vaccinatiepunt,craft+job+channel+geo,4,1.0,0.625,0.556,0.333,0.556,,0.333,,,,,,,,,,,,,,,0,,5,5,,,4,4,3,3,3,0,3,2023,0.6,0.6,1.0,0.75,0.667,0.333,0.667,,0.333,"SEA, display & overige paid advertising",Online adverteren (paid ads),Regionaal (binnen Nederland),Healthcare & care,Advertenties & campagnes renderen niet,,Omvang in cijfers,False
getforward.nl,after,control,1.0,annelieboersma;arassecurity;bouwmabouwmachines;curveswear;delimeal;dorgelovoertuigopties;ekelhoffkeukens;enrise;ernstbrokmeier;henniezoontjes;ladieswork;lengersyachts;mehranmohammad;pieterwahlen;reddingsbrigadenederland;rutgerdegroot;thermoshield;woonin,craft+channel,2,0.388,0.312,,,0.5,,,6,7,0,0,2,0,0,0.5,0.429,,,0.5,,,0,2,18,18,3,16,7,8,0,0,2,0,0,2023,0.0,0.0,0.571,0.5,,,0.5,,,"SEA, display & overige paid advertising",Online adverteren (paid ads),,,"Meer leads, aanvragen & verkoop",,,True
gigaleads.nl,before,narrower,3.333,123zonnepaneelpakket;diamondflame;lotteverhelst;smartnrg;wout;yesdakkapellen,industry+craft+job+channel,4,1.0,0.389,0.5,0.44,1.0,0.5,,,,,,,,,,,,,,,,6,,12,6,,,4,6,2,5,4,2,0,2024,0.667,0.833,1.0,0.5,0.5,0.6,1.0,0.5,,Social media organisch,"Outcome-verkoop (leads, omzet, groei)",Heel Nederland (landelijk),"Construction, real estate & housing","Meer leads, aanvragen & verkoop",Consumentenmarkt offline,,False
